#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
T1_FOM_000000000001	252.4822	1037	0.0000	100.0000	1037	1364	1255	0.3831	49	385.14
T1_FOM_000000000002	27.2607	1005	0.0000	98.6070	991	131	143	0.5189	28	11.87
T1_FOM_000000000003	8.4495	1099	0.0000	100.0000	1099	47	46	0.3706	8	3.61
T1_FOM_000000000004	43.0753	1196	0.0000	100.0000	1196	299	217	0.3862	9	98.57
T1_FOM_000000000005	8.1289	1241	0.0000	100.0000	1241	49	52	0.3809	7	3.89
T1_FOM_000000000006	10.7424	1479	0.0000	99.9324	1478	78	81	0.3261	11	4.07
T1_FOM_000000000007	8.2324	1239	0.0000	100.0000	1239	52	50	0.3743	8	4.43
T1_FOM_000000000008	8.0964	1297	0.0000	100.0000	1297	55	50	0.3465	8	3.14
T1_FOM_000000000009	1027.6370	1730	0.0000	100.0000	1730	8824	8942	0.3203	1114	538.18
T1_FOM_000000000010	9.5763	1180	0.0000	100.0000	1180	54	59	0.4012	9	4.40
T1_FOM_000000000011	7.9911	1802	0.0000	100.0000	1802	72	72	0.4110	8	2.89
T1_FOM_000000000012	10.7768	1317	0.0000	100.0000	1317	70	72	0.3799	11	4.25
T1_FOM_000000000013	10.5130	1579	0.0000	99.8733	1577	83	83	0.3312	9	4.41
T1_FOM_000000000014	8.0158	1834	0.0000	99.7274	1829	78	69	0.3218	8	3.43
T1_FOM_000000000015	45.6977	1330	0.0000	100.0000	1330	295	313	0.3267	55	23.23
T1_FOM_000000000016	20.7583	1514	0.0000	99.8679	1512	162	153	0.3550	20	8.74
T1_FOM_000000000017	8.7304	1992	0.0000	100.0000	1992	85	89	0.3314	9	3.03
T1_FOM_000000000018	7.7079	1349	0.0000	100.0000	1349	54	50	0.3886	8	2.98
T1_FOM_000000000019	7.9201	1515	0.0000	100.0000	1515	57	63	0.3343	8	3.60
T1_FOM_000000000020	44.5830	1036	0.0000	100.0000	1036	245	217	0.5004	21	40.60
T1_FOM_000000000021	9.2251	1799	0.0000	100.0000	1799	85	81	0.3266	9	3.65
T1_FOM_000000000022	11.5578	1988	0.0000	98.7928	1964	114	116	0.3477	12	3.94
T1_FOM_000000000023	20.3765	1166	0.0000	100.0000	1166	118	120	0.4858	22	6.65
T1_FOM_000000000024	8.3032	1385	0.0000	100.0000	1385	57	58	0.3326	8	2.91
T1_FOM_000000000025	7.3933	1218	0.0000	100.0000	1218	46	44	0.3338	7	3.06
T1_FOM_000000000026	7.4803	2205	0.0000	100.0000	2205	83	82	0.3359	7	3.74
T1_FOM_000000000027	5.7977	1414	0.0000	98.0198	1386	44	38	0.3016	6	2.95
T1_FOM_000000000028	11.8241	1546	0.0000	100.0000	1546	82	101	0.3406	11	4.84
T1_FOM_000000000029	43.2627	2577	0.0000	99.6120	2567	537	577	0.3126	8	122.95
T1_FOM_000000000030	7.4372	2420	0.0000	98.9669	2395	89	91	0.3296	7	3.40
T1_FOM_000000000031	7.8161	2610	0.0000	99.5019	2597	104	100	0.3398	8	3.04
T1_FOM_000000000032	14.8543	1764	0.0000	99.6599	1758	128	134	0.3120	10	11.13
T1_FOM_000000000033	7.3962	1406	0.0000	100.0000	1406	53	51	0.3784	7	2.86
T1_FOM_000000000034	10.1445	3114	0.0000	99.9358	3112	163	153	0.3727	9	5.41
T1_FOM_000000000035	10.8087	1359	0.0000	99.5585	1353	70	77	0.3447	10	4.21
T1_FOM_000000000036	7.7748	1119	0.0000	100.0000	1119	43	44	0.3831	8	3.18
T1_FOM_000000000037	8.7668	1677	0.0000	100.0000	1677	72	75	0.3910	9	3.84
T1_FOM_000000000038	9.4623	1034	0.0000	100.0000	1034	47	51	0.3408	10	3.76
T1_FOM_000000000039	8.8586	1252	0.0000	100.0000	1252	59	52	0.3392	9	3.43
T1_FOM_000000000040	13.1202	2912	0.0000	100.0000	2912	184	198	0.3290	12	6.57
T1_FOM_000000000041	9.4386	1229	0.0000	100.0000	1229	60	56	0.3921	9	3.75
T1_FOM_000000000042	8.4917	1029	0.0000	100.0000	1029	40	48	0.3820	8	2.77
T1_FOM_000000000043	8.4451	2096	0.0000	99.5706	2087	87	90	0.4243	8	3.11
T1_FOM_000000000044	11.4060	1643	0.0000	100.0000	1643	97	91	0.3266	11	4.67
T1_FOM_000000000045	10.8165	1008	0.0000	100.0000	1008	57	52	0.2580	12	4.50
T1_FOM_000000000046	8.8254	1300	0.0000	100.0000	1300	60	55	0.3533	8	3.99
T1_FOM_000000000047	34.7340	1297	0.0000	100.0000	1297	222	230	0.3880	11	49.56
T1_FOM_000000000048	8.5664	2742	0.0000	98.8330	2710	119	116	0.3191	8	3.56
T1_FOM_000000000049	10.2192	1560	0.0000	94.7436	1478	84	75	0.2761	8	7.68
T1_FOM_000000000050	9.0690	2492	0.0000	100.0000	2492	113	113	0.2868	9	2.98
T1_FOM_000000000051	11.8800	2734	0.0000	99.0124	2707	163	162	0.3270	9	8.45
T1_FOM_000000000052	9.7716	3131	0.0000	100.0000	3131	152	154	0.3600	10	2.93
T1_FOM_000000000053	9.1723	1788	0.0000	100.0000	1788	83	81	0.3560	9	3.36
T1_FOM_000000000054	11.9759	1450	0.0000	100.0000	1450	88	86	0.3385	11	6.88
T1_FOM_000000000055	7.0129	1624	0.0000	99.8153	1621	57	57	0.3072	7	2.47
T1_FOM_000000000056	9.2708	4620	0.0000	99.9784	4619	211	217	0.3174	9	3.81
T1_FOM_000000000057	9.2930	1280	0.0000	97.8125	1252	61	58	0.3664	8	6.75
T1_FOM_000000000058	7.6585	2805	0.0000	99.9643	2804	109	106	0.2477	8	2.93
T1_FOM_000000000059	8.7615	4554	0.0000	99.6267	4537	201	198	0.3461	8	3.38
T1_FOM_000000000060	7.4910	1495	0.0000	96.9900	1450	55	57	0.2530	8	3.25
T1_FOM_000000000061	4.6129	1214	0.0000	100.0000	1214	28	28	0.4129	5	2.01
T1_FOM_000000000062	11.4414	1520	0.0000	97.1711	1477	86	88	0.3681	12	3.46
T1_FOM_000000000063	44.5291	1066	0.0000	100.0000	1066	258	219	0.3048	9	60.16
T1_FOM_000000000064	10.1899	1775	0.0000	99.8873	1773	90	91	0.2485	9	4.29
T1_FOM_000000000065	8.0318	4719	0.0000	99.5338	4697	189	190	0.3392	7	3.12
T1_FOM_000000000066	9.0386	1969	0.0000	100.0000	1969	88	90	0.3340	9	3.47
T1_FOM_000000000067	8.1787	2249	0.0000	99.2441	2232	93	91	0.3717	8	3.29
T1_FOM_000000000068	9.4381	4736	0.0000	100.0000	4736	221	226	0.3110	9	3.78
T1_FOM_000000000069	12.2289	1053	0.0000	100.0000	1053	73	56	0.3600	9	11.11
T1_FOM_000000000070	12.7438	1167	0.0000	100.0000	1167	75	74	0.4332	11	7.51
T1_FOM_000000000071	9.0133	2861	0.0000	98.9165	2830	130	128	0.2960	9	3.61
T1_FOM_000000000072	8.2642	3255	0.0000	100.0000	3255	135	134	0.3529	8	2.81
T1_FOM_000000000073	7.7678	1055	0.0000	100.0000	1055	42	40	0.3622	8	2.94
T1_FOM_000000000074	11.1765	2113	0.0000	100.0000	2113	116	120	0.3133	10	5.20
T1_FOM_000000000075	11.8662	1525	0.0000	100.0000	1525	87	94	0.2715	11	5.15
T1_FOM_000000000076	13.2738	1439	0.0000	100.0000	1439	95	96	0.3300	13	5.99
T1_FOM_000000000077	9.0933	2026	0.0000	99.7038	2020	93	91	0.3572	8	6.30
T1_FOM_000000000078	4.1618	1057	0.0000	100.0000	1057	23	21	0.3768	4	1.29
T1_FOM_000000000079	7.1796	1810	0.0000	100.0000	1810	65	65	0.3122	7	2.44
T1_FOM_000000000080	9.3043	5288	0.0000	100.0000	5288	246	246	0.3100	9	3.76
T1_FOM_000000000081	9.1310	5803	0.0000	100.0000	5803	265	265	0.3789	9	3.06
T1_FOM_000000000082	8.9691	1681	0.0000	99.8810	1679	72	79	0.3589	9	3.08
T1_FOM_000000000083	10.7269	1864	0.0000	99.9464	1863	96	104	0.3569	10	5.31
T1_FOM_000000000084	10.5920	1000	0.0000	100.0000	1000	52	54	0.3966	10	4.34
T1_FOM_000000000085	14.3776	1274	0.0000	100.0000	1274	89	94	0.3540	12	8.14
T1_FOM_000000000086	20.0409	2027	0.0000	100.0000	2027	211	195	0.3260	18	11.34
T1_FOM_000000000087	7.8191	5218	0.0000	100.0000	5218	205	203	0.3501	8	2.40
T1_FOM_000000000088	6.7830	1797	0.0000	100.0000	1797	61	61	0.2470	7	2.56
T1_FOM_000000000089	12.3544	1504	0.0000	99.9335	1503	98	88	0.3175	9	12.79
T1_FOM_000000000090	9.5971	7051	0.0000	100.0000	7051	335	342	0.3235	9	4.36
T1_FOM_000000000091	9.7096	2369	0.0000	100.0000	2369	114	116	0.3686	9	4.33
T1_FOM_000000000092	9.1487	2871	0.0000	99.9303	2869	138	125	0.3345	8	5.42
T1_FOM_000000000093	8.4455	2972	0.0000	100.0000	2972	123	128	0.3318	8	3.00
T1_FOM_000000000094	10.3522	2740	0.0000	99.9270	2738	142	142	0.3076	10	4.07
T1_FOM_000000000095	20.5449	2430	0.0000	100.0000	2430	235	265	0.4301	9	31.14
T1_FOM_000000000096	8.8365	2501	0.0000	100.0000	2501	109	112	0.3258	9	2.85
T1_FOM_000000000097	7.7179	1567	0.0000	100.0000	1567	59	62	0.2692	8	3.02
T1_FOM_000000000098	11.9990	1015	0.0000	100.0000	1015	61	61	0.3611	11	7.12
T1_FOM_000000000099	10.9935	2291	0.0000	100.0000	2291	138	115	0.3474	9	9.64
T1_FOM_000000000100	5.4634	1025	0.0000	93.2683	956	28	28	0.3300	5	2.85
T1_FOM_000000000101	66.5799	1314	0.0000	100.0000	1314	433	442	0.3185	60	29.47
T1_FOM_000000000102	17.0385	1222	0.0000	100.0000	1222	107	102	0.3638	17	6.69
T1_FOM_000000000103	8.2324	1239	0.0000	100.0000	1239	51	51	0.3445	8	2.28
T1_FOM_000000000104	9.3939	6642	0.0000	100.0000	6642	316	308	0.3339	9	3.90
T1_FOM_000000000105	10.3230	2090	0.0000	100.0000	2090	109	107	0.3468	11	3.75
T1_FOM_000000000106	9.7003	1495	0.0000	100.0000	1495	68	77	0.3963	9	5.53
T1_FOM_000000000107	8.0878	8111	0.0000	100.0000	8111	328	328	0.3506	8	2.96
T1_FOM_000000000108	7.8302	2515	0.0000	98.9264	2488	98	99	0.2927	8	2.66
T1_FOM_000000000109	8.1712	2704	0.0000	100.0000	2704	112	109	0.3596	8	3.41
T1_FOM_000000000110	8.8753	1925	0.0000	100.0000	1925	86	85	0.3699	8	4.60
T1_FOM_000000000111	10.0133	1128	0.0000	99.8227	1126	58	55	0.2932	11	4.89
T1_FOM_000000000112	11.6303	1677	0.0000	98.8670	1658	95	100	0.3861	12	4.18
T1_FOM_000000000113	7.2568	1764	0.0000	100.0000	1764	66	62	0.3927	7	2.71
T1_FOM_000000000114	8.0586	3449	0.0000	99.5651	3434	139	139	0.3732	8	2.76
T1_FOM_000000000115	7.4954	1641	0.0000	100.0000	1641	62	61	0.3431	7	2.74
T1_FOM_000000000116	6.1358	1141	0.0000	100.0000	1141	35	35	0.3659	6	3.02
T1_FOM_000000000117	12.1836	1558	0.0000	99.2298	1546	97	93	0.3418	9	8.69
T1_FOM_000000000118	11.6128	3417	0.0000	99.0635	3385	200	197	0.3020	11	5.86
T1_FOM_000000000119	9.2394	1395	0.0000	100.0000	1395	63	66	0.3040	9	4.87
T1_FOM_000000000120	8.6385	2014	0.0000	100.0000	2014	85	89	0.3437	8	3.32
T1_FOM_000000000121	8.1331	2164	0.0000	100.0000	2164	86	90	0.3551	8	2.98
T1_FOM_000000000122	9.3697	3917	0.0000	100.0000	3917	184	183	0.3429	10	3.20
T1_FOM_000000000123	7.3147	2037	0.0000	100.0000	2037	78	71	0.3560	7	2.52
T1_FOM_000000000124	10.0672	1578	0.0000	100.0000	1578	80	79	0.3249	10	3.59
T1_FOM_000000000125	7.8645	1550	0.0000	100.0000	1550	63	59	0.3521	8	3.11
T1_FOM_000000000126	9.1169	1095	0.0000	100.0000	1095	51	49	0.2835	10	3.47
T1_FOM_000000000127	7.8390	1236	0.0000	100.0000	1236	51	46	0.3278	8	2.98
T1_FOM_000000000128	7.7720	2610	0.0000	99.7701	2604	101	102	0.3447	7	3.63
T1_FOM_000000000129	9.1061	3516	0.0000	100.0000	3516	163	157	0.3630	9	3.25
T1_FOM_000000000130	11.3367	2498	0.0000	100.0000	2498	141	142	0.2283	11	4.42
T1_FOM_000000000131	32.6260	1286	0.0000	100.0000	1286	211	209	0.3531	27	18.56
T1_FOM_000000000132	7.9650	7106	0.0000	100.0000	7106	282	284	0.2997	8	2.89
T1_FOM_000000000133	12.0091	2755	0.0000	99.8548	2751	149	182	0.4098	8	16.45
T1_FOM_000000000134	11.4122	1225	0.0000	94.4490	1157	66	74	0.4179	12	4.99
T1_FOM_000000000135	11.7627	2516	0.0000	100.0000	2516	153	143	0.4027	11	4.57
T1_FOM_000000000136	9.2373	1298	0.0000	100.0000	1298	58	62	0.3114	8	6.08
T1_FOM_000000000137	8.7227	4779	0.0000	99.9582	4777	213	204	0.2710	8	3.47
T1_FOM_000000000138	9.8921	1029	0.0000	100.0000	1029	51	51	0.3624	9	4.14
T1_FOM_000000000139	11.8392	1250	0.0000	100.0000	1250	70	78	0.3147	11	6.78
T1_FOM_000000000140	9.0797	2985	0.0000	100.0000	2985	138	133	0.3411	9	3.37
T1_FOM_000000000141	8.8998	1078	0.0000	100.0000	1078	47	49	0.3938	9	2.72
T1_FOM_000000000142	13.7991	1747	0.0000	99.9428	1746	113	128	0.2951	14	7.52
T1_FOM_000000000143	9.0632	2183	0.0000	99.5877	2174	103	95	0.2928	9	3.53
T1_FOM_000000000144	19.4531	1097	0.0000	100.0000	1097	112	102	0.3572	22	10.90
T1_FOM_000000000145	14.0298	1576	0.0000	100.0000	1576	117	105	0.2755	14	6.30
T1_FOM_000000000146	8.5129	3301	0.0000	99.3638	3280	140	141	0.3878	9	2.89
T1_FOM_000000000147	9.7734	1205	0.0000	100.0000	1205	59	59	0.3194	9	4.71
T1_FOM_000000000148	8.3116	2526	0.0000	100.0000	2526	105	105	0.3494	8	3.31
T1_FOM_000000000149	6.7641	1153	0.0000	98.7858	1139	40	38	0.2418	7	2.56
T1_FOM_000000000150	7.5636	2470	0.0000	100.0000	2470	94	93	0.3303	7	3.38
T1_FOM_000000000151	7.3365	1881	0.0000	100.0000	1881	69	69	0.2514	7	3.24
T1_FOM_000000000152	8.8107	5901	0.0000	100.0000	5901	262	258	0.3583	9	2.76
T1_FOM_000000000153	10.0410	8804	0.0000	99.9886	8803	442	442	0.3318	10	4.12
T1_FOM_000000000154	7.9007	1239	0.0000	98.7893	1224	49	49	0.3602	8	2.87
T1_FOM_000000000155	8.2331	1360	0.0000	100.0000	1360	57	55	0.2873	8	3.86
T1_FOM_000000000156	8.7333	2141	0.0000	100.0000	2141	94	93	0.2542	9	2.99
T1_FOM_000000000157	49.5412	1068	0.0000	100.0000	1068	279	250	0.3371	50	17.43
T1_FOM_000000000158	9.1330	1226	0.0000	98.0424	1202	56	56	0.4027	9	3.22
T1_FOM_000000000159	7.0384	1094	0.0000	97.9890	1072	38	39	0.3584	7	2.82
T1_FOM_000000000160	24.9840	1064	0.0000	100.0000	1064	136	130	0.5412	23	12.83
T1_FOM_000000000161	8.9363	3847	0.0000	100.0000	3847	168	176	0.3143	9	3.56
T1_FOM_000000000162	8.0017	1187	0.0000	99.3260	1179	46	49	0.2859	8	3.60
T1_FOM_000000000163	10.1334	2593	0.0000	100.0000	2593	131	132	0.2783	9	4.59
T1_FOM_000000000164	8.2902	1592	0.0000	100.0000	1592	69	63	0.3547	8	3.52
T1_FOM_000000000165	11.0082	1590	0.0000	98.7421	1570	93	82	0.3665	11	4.46
T1_FOM_000000000166	7.3647	1234	0.0000	100.0000	1234	44	47	0.3578	8	2.52
T1_FOM_000000000167	106.2220	5445	0.0000	100.0000	5445	2906	2881	0.4437	108	16.92
T1_FOM_000000000168	11.9187	2398	0.0000	100.0000	2398	143	143	0.3606	11	5.79
T1_FOM_000000000169	8.0853	4996	0.0000	100.0000	4996	205	199	0.3438	8	3.23
T1_FOM_000000000170	10.0357	1149	0.0000	100.0000	1149	54	61	0.3492	9	5.52
T1_FOM_000000000171	7.5867	1943	0.0000	98.8677	1921	69	79	0.3384	7	3.43
T1_FOM_000000000172	8.4146	1961	0.0000	100.0000	1961	82	83	0.3496	8	2.86
T1_FOM_000000000173	6.8269	2270	0.0000	100.0000	2270	78	77	0.3117	7	2.60
T1_FOM_000000000174	9.1983	1498	0.0000	100.0000	1498	69	69	0.3617	9	3.14
T1_FOM_000000000175	8.9615	3658	0.0000	100.0000	3658	168	160	0.3479	9	3.22
T1_FOM_000000000176	8.6939	1921	0.0000	99.8959	1919	81	86	0.3449	9	3.06
T1_FOM_000000000177	11.9367	2101	0.0000	100.0000	2101	125	126	0.3457	12	3.86
T1_FOM_000000000178	8.1722	1138	0.0000	100.0000	1138	45	48	0.3608	8	3.22
T1_FOM_000000000179	35.3679	1457	0.0000	100.0000	1457	268	248	0.3429	10	59.11
T1_FOM_000000000180	8.9297	1422	0.0000	99.9297	1421	64	63	0.3087	9	3.41
T1_FOM_000000000181	8.0715	2714	0.0000	99.7052	2706	108	111	0.2739	8	3.30
T1_FOM_000000000182	9.0352	5399	0.0000	99.8333	5390	242	246	0.3106	8	3.56
T1_FOM_000000000183	6.9767	2576	0.0000	100.0000	2576	90	90	0.3522	6	2.84
T1_FOM_000000000184	8.7838	1776	0.0000	99.2680	1763	81	75	0.2769	8	3.73
T1_FOM_000000000185	9.1456	1662	0.0000	99.6390	1656	76	76	0.3768	9	3.89
T1_FOM_000000000186	8.8573	7812	0.0000	100.0000	7812	347	345	0.3493	8	3.48
T1_FOM_000000000187	7.3810	1260	0.0000	99.6825	1256	45	48	0.3089	8	2.96
