#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
T1_UBT_000000000001	3.6415	1071	0.0000	100.0000	1071	20	19	0.3513	4	1.32
T1_UBT_000000000002	4.2798	1215	0.0000	100.0000	1215	27	25	0.4442	4	1.68
T1_UBT_000000000003	3.4107	1378	0.0000	100.0000	1378	22	25	0.3851	3	1.14
T1_UBT_000000000004	3.6193	1492	0.0000	100.0000	1492	27	27	0.3244	3	1.49
T1_UBT_000000000005	6.2471	1105	0.0000	100.0000	1105	35	34	0.3419	7	3.01
T1_UBT_000000000006	4.1667	1224	0.0000	100.0000	1224	26	25	0.3037	4	1.70
T1_UBT_000000000007	3.9377	1092	0.0000	100.0000	1092	23	20	0.2767	4	1.60
T1_UBT_000000000008	3.0392	1020	0.0000	99.2157	1012	16	15	0.4203	3	1.26
T1_UBT_000000000009	4.3003	1372	0.0000	99.5627	1366	29	30	0.3731	4	1.93
T1_UBT_000000000010	4.3978	1478	0.0000	98.5792	1457	32	33	0.2783	4	2.04
T1_UBT_000000000011	12.6008	1325	0.0000	100.0000	1325	70	97	0.3349	6	16.21
T1_UBT_000000000012	6.2851	1761	0.0000	99.9432	1760	54	57	0.3079	6	2.61
T1_UBT_000000000013	4.4404	1124	0.0000	100.0000	1124	26	24	0.2700	4	1.82
T1_UBT_000000000014	5.7596	1094	0.0000	100.0000	1094	30	33	0.4062	5	2.48
T1_UBT_000000000015	5.7040	1679	0.0000	98.1537	1648	49	47	0.3681	4	4.26
T1_UBT_000000000016	4.6041	1086	0.0000	100.0000	1086	24	26	0.2938	5	1.96
T1_UBT_000000000017	4.3394	1037	0.0000	100.0000	1037	23	22	0.3833	4	1.67
T1_UBT_000000000018	8.2700	1752	0.0000	100.0000	1752	72	73	0.4012	9	4.05
T1_UBT_000000000019	4.0178	1070	0.0000	99.9065	1069	17	26	0.3391	4	2.08
T1_UBT_000000000020	3.8665	1109	0.0000	100.0000	1109	22	21	0.3237	4	1.71
T1_UBT_000000000021	4.2984	1069	0.0000	99.5323	1064	20	26	0.3659	4	2.54
T1_UBT_000000000022	3.1879	1192	0.0000	100.0000	1192	20	18	0.3221	3	1.23
T1_UBT_000000000023	3.8188	1126	0.0000	100.0000	1126	23	20	0.3223	4	1.56
T1_UBT_000000000024	7.7673	1839	0.0000	100.0000	1839	68	75	0.3343	7	3.80
T1_UBT_000000000025	5.7564	1059	0.0000	99.8111	1057	27	34	0.3003	6	2.35
T1_UBT_000000000026	7.3305	1186	0.0000	100.0000	1186	44	43	0.2778	7	3.13
T1_UBT_000000000027	11.3150	1162	0.0000	100.0000	1162	68	64	0.2677	11	4.63
T1_UBT_000000000028	5.5557	1256	0.0000	100.0000	1256	31	39	0.3813	6	2.07
T1_UBT_000000000029	4.9251	1361	0.0000	100.0000	1361	34	33	0.3764	5	2.54
T1_UBT_000000000030	3.8938	1130	0.0000	100.0000	1130	23	21	0.3355	4	1.54
T1_UBT_000000000031	5.3390	1348	0.0000	97.9228	1320	42	30	0.3915	5	3.15
T1_UBT_000000000032	4.3890	1162	0.0000	100.0000	1162	25	26	0.3482	4	1.59
T1_UBT_000000000033	4.0327	1711	0.0000	100.0000	1711	34	35	0.3678	4	1.63
T1_UBT_000000000034	4.9301	1359	0.0000	100.0000	1359	33	34	0.2810	5	2.10
T1_UBT_000000000035	4.1865	1051	0.0000	100.0000	1051	23	21	0.3698	4	1.76
T1_UBT_000000000036	4.2679	1523	0.0000	100.0000	1523	33	32	0.3920	4	1.73
T1_UBT_000000000037	5.1250	1032	0.0000	100.0000	1032	27	26	0.3787	5	1.88
T1_UBT_000000000038	4.5570	1580	0.0000	98.7342	1560	35	37	0.3561	4	2.12
T1_UBT_000000000039	10.5523	1043	0.0000	100.0000	1043	56	54	0.2365	10	4.94
T1_UBT_000000000040	4.4444	1080	0.0000	100.0000	1080	25	23	0.2915	4	2.17
T1_UBT_000000000041	6.5341	1438	0.0000	99.2350	1427	48	46	0.3781	6	3.44
