user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Deepurify_Bin_0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	98.35	0.816	GCF_000193635.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella cibaria	98.35	0.816	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_004521965.1, s__Weissella cibaria_A, 95.0, 92.67, 0.684; GCF_007991875.1, s__Weissella confusa, 95.0, 82.44, 0.164; GCA_016466735.1, s__Weissella confusa_B, 95.0, 82.15, 0.152; GCF_004766315.1, s__Weissella confusa_A, 95.0, 81.12, 0.151	50.15	11	N/A	N/A
Deepurify_Bin_1	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_007991875.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	97.29	0.834	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_007991875.1, s__Weissella confusa, 95.0, 97.29, 0.834; GCA_014332815.1, s__Weissella confusa_C, 95.0, 93.94, 0.476; GCA_016466735.1, s__Weissella confusa_B, 95.0, 90.93, 0.729; GCF_004766315.1, s__Weissella confusa_A, 95.0, 90.88, 0.699; GCF_000193635.1, s__Weissella cibaria, 95.0, 84.96, 0.244; GCF_004521965.1, s__Weissella cibaria_A, 95.0, 82.96, 0.186	39.86	11	N/A	N/A
Deepurify_Bin_2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	GCF_004354555.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	98.92	0.898	GCF_004354555.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc citreum	98.92	0.898	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	95.41	11	N/A	N/A
Deepurify_Bin_3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	GCF_014634745.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	98.76	0.964	GCF_014634745.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides	98.76	0.964	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014634805.1, s__Leuconostoc falkenbergense, 95.0, 92.82, 0.831	70.47	11	N/A	N/A
Deepurify_Bin_4	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	GCF_007991875.1	95	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__Weissella confusa	98.43	0.9	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_007991875.1, s__Weissella confusa, 95.0, 98.43, 0.9; GCA_014332815.1, s__Weissella confusa_C, 95.0, 93.93, 0.473; GCF_004766315.1, s__Weissella confusa_A, 95.0, 92.63, 0.788; GCA_016466735.1, s__Weissella confusa_B, 95.0, 92.39, 0.8; GCF_000193635.1, s__Weissella cibaria, 95.0, 84.16, 0.255; GCF_004521965.1, s__Weissella cibaria_A, 95.0, 82.15, 0.199	57.66	11	N/A	N/A
