#ID	Avg_fold	Length	Ref_GC	Covered_percent	Covered_bases	Plus_reads	Minus_reads	Read_GC	Median_fold	Std_Dev
T3_UBT_000000000001	7.8884	1407	0.0000	100.0000	1407	57	54	0.4577	8	3.13
T3_UBT_000000000002	4.5624	1074	0.0000	100.0000	1074	24	25	0.3314	4	2.07
T3_UBT_000000000003	8.2200	1750	0.0000	100.0000	1750	72	72	0.3790	8	2.54
T3_UBT_000000000004	8.7185	1375	0.0000	100.0000	1375	61	59	0.3944	9	3.12
T3_UBT_000000000005	5.8651	1023	0.0000	100.0000	1023	30	30	0.2873	6	2.17
T3_UBT_000000000006	8.4180	1031	0.0000	100.0000	1031	44	43	0.2992	8	3.73
T3_UBT_000000000007	50.2494	1327	0.0000	99.9246	1326	321	347	0.4327	48	19.57
T3_UBT_000000000008	11.1639	1269	0.0000	99.9212	1268	68	74	0.3238	9	7.76
T3_UBT_000000000009	7.6358	1362	0.0000	100.0000	1362	54	50	0.3218	8	3.02
T3_UBT_000000000010	11.3845	1035	0.0000	99.9034	1034	66	52	0.4286	11	5.47
T3_UBT_000000000011	7.6466	1347	0.0000	99.7030	1343	50	53	0.2226	7	3.03
T3_UBT_000000000012	9.2594	1361	0.0000	100.0000	1361	62	64	0.3526	9	4.11
T3_UBT_000000000013	9.7265	1521	0.0000	100.0000	1521	79	69	0.3616	9	4.43
T3_UBT_000000000014	6.2991	1080	0.0000	100.0000	1080	32	36	0.3640	6	2.41
T3_UBT_000000000015	11.3851	1036	0.0000	100.0000	1036	59	59	0.3558	11	4.73
T3_UBT_000000000016	8.4549	1407	0.0000	98.3653	1384	61	58	0.3365	9	3.51
T3_UBT_000000000017	9.7896	1207	0.0000	100.0000	1207	62	56	0.2954	9	5.28
T3_UBT_000000000018	9.1613	1178	0.0000	98.0475	1155	55	53	0.3247	9	3.72
T3_UBT_000000000019	330.7789	2985	0.0000	100.0000	2985	5138	4739	0.3484	325	101.09
T3_UBT_000000000020	13.5692	1423	0.0000	100.0000	1423	97	96	0.2874	13	6.49
T3_UBT_000000000021	72.4629	1266	0.0000	100.0000	1266	444	470	0.3981	30	76.15
T3_UBT_000000000022	11.5214	1448	0.0000	99.7238	1444	80	87	0.3814	9	8.14
T3_UBT_000000000023	24.2262	1357	0.0000	99.1157	1345	174	155	0.3109	17	14.22
T3_UBT_000000000024	19.9567	1200	0.0000	100.0000	1200	123	117	0.4121	22	6.87
T3_UBT_000000000025	8.0318	1070	0.0000	99.6262	1066	42	44	0.3497	8	2.97
T3_UBT_000000000026	7.5836	1160	0.0000	98.1897	1139	45	43	0.4160	8	3.26
T3_UBT_000000000027	6.6199	1026	0.0000	99.3177	1019	34	34	0.3821	6	2.84
T3_UBT_000000000028	6.3513	1711	0.0000	99.7662	1707	53	56	0.2234	7	2.70
T3_UBT_000000000029	10.6788	1323	0.0000	100.0000	1323	69	72	0.2776	11	4.03
T3_UBT_000000000030	10.3247	3077	0.0000	100.0000	3077	166	152	0.2495	10	4.16
T3_UBT_000000000031	9.0814	2015	0.0000	100.0000	2015	90	93	0.3481	9	3.29
T3_UBT_000000000032	29.5959	1027	0.0000	100.0000	1027	140	165	0.2656	26	15.96
T3_UBT_000000000033	99.0542	1680	0.0000	100.0000	1680	839	825	0.4851	94	30.60
T3_UBT_000000000034	8.3653	1566	0.0000	100.0000	1566	64	67	0.3469	8	3.83
T3_UBT_000000000035	9.8503	2639	0.0000	100.0000	2639	131	129	0.3197	9	3.86
T3_UBT_000000000036	8.9205	3987	0.0000	99.9498	3985	180	176	0.2522	8	3.29
T3_UBT_000000000037	8.4709	1510	0.0000	97.2848	1469	65	63	0.3158	9	3.19
T3_UBT_000000000038	28.9465	1534	0.0000	100.0000	1534	222	222	0.3377	27	17.26
T3_UBT_000000000039	8.3640	2176	0.0000	100.0000	2176	90	92	0.3283	8	3.31
T3_UBT_000000000040	15.0069	4040	0.0000	100.0000	4040	299	308	0.3015	11	18.40
T3_UBT_000000000041	25.1429	1008	0.0000	100.0000	1008	125	129	0.2768	26	11.13
T3_UBT_000000000042	6.8500	1400	0.0000	100.0000	1400	47	49	0.3911	6	3.21
T3_UBT_000000000043	8.7158	4462	0.0000	98.9018	4413	191	198	0.3233	9	3.09
T3_UBT_000000000044	8.9681	1127	0.0000	100.0000	1127	54	47	0.3791	9	4.55
T3_UBT_000000000045	10.3173	1686	0.0000	100.0000	1686	90	84	0.3248	10	5.33
T3_UBT_000000000046	9.3261	1855	0.0000	98.8140	1833	88	85	0.2226	10	4.11
T3_UBT_000000000047	11.4150	1270	0.0000	100.0000	1270	74	71	0.3394	11	4.14
T3_UBT_000000000048	10.0112	1334	0.0000	99.1004	1322	68	65	0.2426	10	4.89
T3_UBT_000000000049	10.2028	2401	0.0000	100.0000	2401	121	124	0.3159	9	4.25
T3_UBT_000000000050	8.3600	1100	0.0000	99.0000	1089	47	45	0.3605	9	3.31
T3_UBT_000000000051	44.4920	2864	0.0000	99.2668	2843	651	623	0.5074	41	28.21
T3_UBT_000000000052	6.3722	1142	0.0000	99.9124	1141	36	37	0.3192	6	2.12
T3_UBT_000000000053	12.2437	2663	0.0000	98.3477	2619	158	168	0.2591	12	4.51
T3_UBT_000000000054	14.4540	5009	0.0000	99.9401	5006	372	352	0.3892	12	11.72
T3_UBT_000000000055	7.8651	1245	0.0000	100.0000	1245	50	48	0.2635	8	3.45
T3_UBT_000000000056	12.0607	1153	0.0000	99.5663	1148	69	70	0.2863	11	6.43
