locus_tag	ftype	length_bp	gene	EC_number	COG	product
FOM_5_00001	gene	660				
FOM_5_00001	CDS	660				hypothetical protein
FOM_5_00002	gene	2142				
FOM_5_00002	CDS	2142		3.2.1.-		Beta-xylosidase
FOM_5_00003	gene	2205	ltaS1			
FOM_5_00003	CDS	2205	ltaS1		COG1368	Lipoteichoic acid synthase 1
FOM_5_00004	gene	255				
FOM_5_00004	CDS	255				hypothetical protein
FOM_5_00005	gene	1020				
FOM_5_00005	CDS	1020				hypothetical protein
FOM_5_00006	gene	1029	cpoA			
FOM_5_00006	CDS	1029	cpoA	2.4.1.-	COG0438	Alpha-galactosylglucosyldiacylglycerol synthase
FOM_5_00007	gene	1248				
FOM_5_00007	CDS	1248		2.4.1.337	COG0438	Alpha-monoglucosyldiacylglycerol synthase
FOM_5_00008	gene	639	pyrE			
FOM_5_00008	CDS	639	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
FOM_5_00009	gene	717	pyrF			
FOM_5_00009	CDS	717	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
FOM_5_00010	gene	960	pyrDB			
FOM_5_00010	CDS	960	pyrDB	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
FOM_5_00011	gene	3180	carB			
FOM_5_00011	CDS	3180	carB	6.3.5.5	COG0458	Carbamoyl-phosphate synthase large chain
FOM_5_00012	gene	1083	carA			
FOM_5_00012	CDS	1083	carA	6.3.5.5		Carbamoyl-phosphate synthase small chain
FOM_5_00013	gene	1290	pyrC			
FOM_5_00013	CDS	1290	pyrC	3.5.2.3		Dihydroorotase
FOM_5_00014	gene	906	pyrB			
FOM_5_00014	CDS	906	pyrB	2.1.3.2		Aspartate carbamoyltransferase
FOM_5_00015	gene	297				
FOM_5_00015	CDS	297				hypothetical protein
FOM_5_00016	gene	1851				
FOM_5_00016	CDS	1851				hypothetical protein
FOM_5_00017	gene	315				
FOM_5_00017	CDS	315				hypothetical protein
FOM_5_00018	gene	1359	glmM			
FOM_5_00018	CDS	1359	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
FOM_5_00019	gene	978				
FOM_5_00019	CDS	978				hypothetical protein
FOM_5_00020	gene	834	dacA_1			
FOM_5_00020	CDS	834	dacA_1	2.7.7.85	COG1624	Diadenylate cyclase
FOM_5_00021	gene	2052	nhaK			
FOM_5_00021	CDS	2052	nhaK		COG0025	Sodium, potassium, lithium and rubidium/H(+) antiporter
FOM_5_00022	gene	897	murB			
FOM_5_00022	CDS	897	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
FOM_5_00023	gene	534	polC_1			
FOM_5_00023	CDS	534	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
FOM_5_00024	gene	510	aaaT			
FOM_5_00024	CDS	510	aaaT	2.3.1.-	COG0454	L-amino acid N-acetyltransferase AaaT
FOM_5_00025	gene	468	tsaE			
FOM_5_00025	CDS	468	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
FOM_5_00026	gene	978	pta			
FOM_5_00026	CDS	978	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
FOM_5_00027	gene	663	ung			
FOM_5_00027	CDS	663	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
FOM_5_00028	gene	606				
FOM_5_00028	CDS	606				hypothetical protein
FOM_5_00029	gene	327				
FOM_5_00029	CDS	327				hypothetical protein
FOM_5_00030	gene	315	gdnD_1			
FOM_5_00030	CDS	315	gdnD_1		COG2076	putative guanidinium efflux system subunit GdnD
FOM_5_00031	gene	738	glnQ_1			
FOM_5_00031	CDS	738	glnQ_1	3.6.3.-	COG1126	Glutamine transport ATP-binding protein GlnQ
FOM_5_00032	gene	1446	mltF_1			
FOM_5_00032	CDS	1446	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
FOM_5_00033	gene	1416	ribZ_1			
FOM_5_00033	CDS	1416	ribZ_1			Riboflavin transporter RibZ
FOM_5_00034	gene	801				
FOM_5_00034	CDS	801				hypothetical protein
FOM_5_00035	gene	468	smpB			
FOM_5_00035	CDS	468	smpB		COG0691	SsrA-binding protein
FOM_5_00036	gene	2358	rnr			
FOM_5_00036	CDS	2358	rnr	3.1.13.1	COG0557	Ribonuclease R
FOM_5_00037	gene	237	secG			
FOM_5_00037	CDS	237	secG		COG1314	putative protein-export membrane protein SecG
FOM_5_00038	gene	1428	ribZ_2			
FOM_5_00038	CDS	1428	ribZ_2			Riboflavin transporter RibZ
FOM_5_00039	gene	1377	QRSL1			
FOM_5_00039	CDS	1377	QRSL1	6.3.5.7		Glutamyl-tRNA(Gln) amidotransferase subunit A, chloroplastic/mitochondrial
FOM_5_00040	gene	1356	eno2			
FOM_5_00040	CDS	1356	eno2	4.2.1.11	COG0148	Enolase 2
