locus_tag	ftype	length_bp	gene	EC_number	COG	product
CHQ_4_00001	gene	990				
CHQ_4_00001	CDS	990				hypothetical protein
CHQ_4_00002	gene	840				
CHQ_4_00002	CDS	840				hypothetical protein
CHQ_4_00003	gene	462	bin3_1			
CHQ_4_00003	CDS	462	bin3_1			Putative transposon Tn552 DNA-invertase bin3
CHQ_4_00004	gene	933	psaA			
CHQ_4_00004	CDS	933	psaA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
CHQ_4_00005	gene	813	mntB_1			
CHQ_4_00005	CDS	813	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
CHQ_4_00006	gene	888				
CHQ_4_00006	CDS	888				hypothetical protein
CHQ_4_00007	gene	795	znuB_1			
CHQ_4_00007	CDS	795	znuB_1		COG1108	High-affinity zinc uptake system membrane protein ZnuB
CHQ_4_00008	gene	291				
CHQ_4_00008	CDS	291				IS3 family transposase IS1076
CHQ_4_00009	gene	405				
CHQ_4_00009	CDS	405				IS3 family transposase IS1069
CHQ_4_00010	gene	1335	citG			
CHQ_4_00010	CDS	1335	citG	2.4.2.52		2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase
CHQ_4_00011	gene	1539	citF			
CHQ_4_00011	CDS	1539	citF	4.1.3.6	COG3051	Citrate lyase alpha chain
CHQ_4_00012	gene	915	citE			
CHQ_4_00012	CDS	915	citE	4.1.3.6	COG2301	Citrate lyase subunit beta
CHQ_4_00013	gene	294	citD			
CHQ_4_00013	CDS	294	citD		COG3052	Citrate lyase acyl carrier protein
CHQ_4_00014	gene	1032	citC			
CHQ_4_00014	CDS	1032	citC	6.2.1.22		[Citrate [pro-3S]-lyase] ligase
CHQ_4_00015	gene	936	sorC_1			
CHQ_4_00015	CDS	936	sorC_1		COG2390	Sorbitol operon regulator
CHQ_4_00016	gene	1005				
CHQ_4_00016	CDS	1005				hypothetical protein
CHQ_4_00017	gene	1140				
CHQ_4_00017	CDS	1140		1.1.1.38		NAD-dependent malic enzyme
CHQ_4_00018	gene	360				
CHQ_4_00018	CDS	360				hypothetical protein
CHQ_4_00019	gene	2148	ltaS1_1			
CHQ_4_00019	CDS	2148	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
CHQ_4_00020	gene	681				
CHQ_4_00020	CDS	681				IS6 family transposase ISLgar4
CHQ_4_00021	gene	1011				
CHQ_4_00021	CDS	1011				hypothetical protein
CHQ_4_00022	gene	333				
CHQ_4_00022	CDS	333				hypothetical protein
CHQ_4_00023	gene	555	hin			
CHQ_4_00023	CDS	555	hin		COG1961	DNA-invertase hin
CHQ_4_00024	gene	282				
CHQ_4_00024	CDS	282				hypothetical protein
CHQ_4_00025	gene	2181				
CHQ_4_00025	CDS	2181				hypothetical protein
CHQ_4_00026	gene	1296				
CHQ_4_00026	CDS	1296				hypothetical protein
CHQ_4_00027	gene	1134				
CHQ_4_00027	CDS	1134				hypothetical protein
CHQ_4_00028	gene	615				
