locus_tag	ftype	length_bp	gene	EC_number	COG	product
UBT_4_00001	gene	312	nmtR_1			
UBT_4_00001	CDS	312	nmtR_1			HTH-type transcriptional regulator NmtR
UBT_4_00002	gene	897	czcD			
UBT_4_00002	CDS	897	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
UBT_4_00003	gene	750				
UBT_4_00003	CDS	750				hypothetical protein
UBT_4_00004	gene	945	coaA			
UBT_4_00004	CDS	945	coaA	2.7.1.33		Pantothenate kinase
UBT_4_00005	gene	2283	helD			
UBT_4_00005	CDS	2283	helD	3.6.4.12	COG3973	DNA helicase IV
UBT_4_00006	gene	255				
UBT_4_00006	CDS	255				hypothetical protein
UBT_4_00007	gene	1146	recA			
UBT_4_00007	CDS	1146	recA			Protein RecA
UBT_4_00008	gene	477	cinA			
UBT_4_00008	CDS	477	cinA		COG1058	Putative competence-damage inducible protein
UBT_4_00009	gene	585	pgsA			
UBT_4_00009	CDS	585	pgsA	2.7.8.5		CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
UBT_4_00010	gene	909				
UBT_4_00010	CDS	909				hypothetical protein
UBT_4_00011	gene	1290				
UBT_4_00011	CDS	1290				hypothetical protein
UBT_4_00012	gene	1263				
UBT_4_00012	CDS	1263				hypothetical protein
UBT_4_00013	gene	231				
UBT_4_00013	CDS	231				hypothetical protein
UBT_4_00014	gene	1275				
UBT_4_00014	CDS	1275				hypothetical protein
UBT_4_00015	gene	435				
UBT_4_00015	CDS	435				hypothetical protein
UBT_4_00016	gene	1503	gntT			
UBT_4_00016	CDS	1503	gntT		COG2610	High-affinity gluconate transporter
UBT_4_00017	gene	1380	idnT			
UBT_4_00017	CDS	1380	idnT		COG2610	Gnt-II system L-idonate transporter
UBT_4_00018	gene	1542	xylB_1			
UBT_4_00018	CDS	1542	xylB_1	2.7.1.17	COG1070	Xylulose kinase
UBT_4_00019	gene	945				
UBT_4_00019	CDS	945				hypothetical protein
UBT_4_00020	gene	558				
UBT_4_00020	CDS	558				hypothetical protein
UBT_4_00021	gene	1326	pgaC_1			
UBT_4_00021	CDS	1326	pgaC_1	2.4.1.-	COG1215	Poly-beta-1,6-N-acetyl-D-glucosamine synthase
UBT_4_00022	gene	951	yhaM			
UBT_4_00022	CDS	951	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
UBT_4_00023	gene	2328				
UBT_4_00023	CDS	2328				hypothetical protein
UBT_4_00024	gene	1194				
UBT_4_00024	CDS	1194				hypothetical protein
UBT_4_00025	gene	345				
UBT_4_00025	CDS	345				hypothetical protein
UBT_4_00026	gene	2109	pbpF			
UBT_4_00026	CDS	2109	pbpF		COG0744	Penicillin-binding protein 1F
UBT_4_00027	gene	459	argR_1			
UBT_4_00027	CDS	459	argR_1		COG1438	Arginine repressor
UBT_4_00028	gene	1032				
UBT_4_00028	CDS	1032				hypothetical protein
UBT_4_00029	gene	633				
UBT_4_00029	CDS	633				hypothetical protein
UBT_4_00030	gene	657				
UBT_4_00030	CDS	657				hypothetical protein
UBT_4_00031	gene	576	tag			
UBT_4_00031	CDS	576	tag	3.2.2.20	COG2818	DNA-3-methyladenine glycosylase 1
UBT_4_00032	gene	741				
UBT_4_00032	CDS	741		2.4.2.-	COG2071	Putative glutamine amidotransferase
UBT_4_00033	gene	1686	argS			
UBT_4_00033	CDS	1686	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
UBT_4_00034	gene	345				
UBT_4_00034	CDS	345				hypothetical protein
UBT_4_00035	gene	1527	murE_1			
UBT_4_00035	CDS	1527	murE_1	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
UBT_4_00036	gene	606				
UBT_4_00036	CDS	606		3.6.1.66	COG0127	dITP/XTP pyrophosphatase
UBT_4_00037	gene	1296	murE_2			
UBT_4_00037	CDS	1296	murE_2	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
UBT_4_00038	gene	750	mntB_1			
UBT_4_00038	CDS	750	mntB_1		COG1121	Manganese transport system ATP-binding protein MntB
UBT_4_00039	gene	849	mntB_2			
UBT_4_00039	CDS	849	mntB_2			Manganese transport system membrane protein MntB
UBT_4_00040	gene	951	fimA			
UBT_4_00040	CDS	951	fimA		COG0803	Manganese ABC transporter substrate-binding lipoprotein
UBT_4_00041	gene	390				
UBT_4_00041	CDS	390				hypothetical protein
UBT_4_00042	gene	441				
UBT_4_00042	CDS	441				hypothetical protein
UBT_4_00043	gene	954	dagK			
UBT_4_00043	CDS	954	dagK	2.7.1.107	COG1597	Diacylglycerol kinase
UBT_4_00044	gene	1446	gatB			
UBT_4_00044	CDS	1446	gatB	6.3.5.-	COG0064	Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B
UBT_4_00045	gene	1458	gatA			
UBT_4_00045	CDS	1458	gatA	6.3.5.7	COG0154	Glutamyl-tRNA(Gln) amidotransferase subunit A
UBT_4_00046	gene	312	gatC			
UBT_4_00046	CDS	312	gatC	6.3.5.-	COG0721	Glutamyl-tRNA(Gln) amidotransferase subunit C
UBT_4_00047	gene	1404	rsmF			
UBT_4_00047	CDS	1404	rsmF	2.1.1.-	COG0144	Ribosomal RNA small subunit methyltransferase F
UBT_4_00048	gene	831	yitU			
UBT_4_00048	CDS	831	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
UBT_4_00049	gene	2031				
UBT_4_00049	CDS	2031				hypothetical protein
UBT_4_00050	gene	2361	pepX			
UBT_4_00050	CDS	2361	pepX	3.4.14.11		Xaa-Pro dipeptidyl-peptidase
UBT_4_00051	gene	819				
UBT_4_00051	CDS	819				hypothetical protein
UBT_4_00052	gene	627				
UBT_4_00052	CDS	627				hypothetical protein
UBT_4_00053	gene	309				
